"description","dataelement_formname","dataelement_uid",
"Check if there is documentation of a radiology safety program","12.3.3 1. Is there equipment to support safe surgical intervention appropriate to the level?","fF5M7JbftZj",
"Check if there is documentation of a radiology safety program","12.3.3 1. Is there equipment to support safe surgical intervention appropriate to the level?","fF5M7JbftZj",
"Check for the availability of power back-up with automatic switch over","12.3.4 1. Is there constant power supply in the theatre?","WwkLNmGfCm0",
"Check for the availability of power back-up with automatic switch over","12.3.4 1. Is there constant power supply in the theatre?","WwkLNmGfCm0",
,"12.3.5 1. Check for the functionality of emergency equipment, Resuscitation And Airway Management System. i. Mayo Instrumentii. Diathermy Machin iii. Anaesthetic Trolley iv. Hoses v. Valves vi. Bellows Or Bag To Inflate Lungs","RRtqpUgwPKn",
,"12.3.5 1. Check for the functionality of emergency equipment, Resuscitation And Airway Management System. i. Mayo Instrumentii. Diathermy Machin iii. Anaesthetic Trolley iv. Hoses v. Valves vi. Bellows Or Bag To Inflate Lungs","RRtqpUgwPKn",
,"12.3.6 1. Check for the washing and decontamination area for used equipment and linen","qJVw73qqI3O",
,"12.3.6 1. Check for the washing and decontamination area for used equipment and linen","qJVw73qqI3O",
,"12.3.6 2. Check for the availability of sterilization facility for equipment and linen","cM7RrPUohXd",
,"12.3.6 3. Check for availability and condition of patient preparation area, changing room, scrubbing area, operating room and recovery room","kDV1mTVkifN",
,"12.3.6 4. Check if there is controlled access into the theatre","s2H8wRmmrD1",
"Check for protocols for surgical procedures and recovery","12.4.1 1. Are there protocols for surgical procedures?","s8BmibqdRGp",
"Check if radiology and imaging service has SOP and protocols for various types of equipment including radiation warning symbols and postersCheck if radiology and imaging service has SOP and protocols for various types of equipment including radiation warning symbols and posters","12.4.1 1 Are there SOPs and protocols for equipment?12.5.2 1 Are there SOPs and protocols for equipment?","mi1poePnwBy",
"Check if radiology and imaging service has SOP and protocols for various types of equipment including radiation warning symbols and postersCheck if radiology and imaging service has SOP and protocols for various types of equipment including radiation warning symbols and posters","12.4.1 1 Are there SOPs and protocols for equipment?12.5.2 1 Are there SOPs and protocols for equipment?","mi1poePnwBy",
"Check if there a functioning refrigerator for preserving dead bodies?","12.4.1 2. Is the radiology and imaging equipment functional?","S2Fl1ZF2aIZ",
"Check if there a functioning refrigerator for preserving dead bodies?","12.4.1 2. Is the radiology and imaging equipment functional?","S2Fl1ZF2aIZ",
"Check if the following PPE are available Gowns, gloves, plastic apron, protective eye ware and face mask covering face and maskCheck if the following PPE are available Gowns, gloves, plastic apron, protective eye ware and face mask covering face and mask","12.4.1 3. and planned for preventive maintenance?","iog6KfQLmZw",
"Check if the following PPE are available Gowns, gloves, plastic apron, protective eye ware and face mask covering face and maskCheck if the following PPE are available Gowns, gloves, plastic apron, protective eye ware and face mask covering face and mask","12.4.1 3. and planned for preventive maintenance?","iog6KfQLmZw",
,"12.4.1.4 Is there a procedure for providing service after working hours?Check if there is an on call register with contact numbers for both x ray and ultrasound","jUbpCgmw470",
,"12.4.1.4 Is there a procedure for providing service after working hours?Check if there is an on call register with contact numbers for both x ray and ultrasound","jUbpCgmw470",
"Check the qualification of the staff present and working at the time of the assessment for both radiology and imaging","12.4.2 1 Are there suitably qualified staff?","Rdvp97rKvgT",
"Check the qualification of the staff present and working at the time of the assessment for both radiology and imaging","12.4.2 1 Are there suitably qualified staff?","Rdvp97rKvgT",
"Check for the presence of a trained anaesthesia staff  Yes","12.4.2 1. Is there at least one cadre trained and certified to perform anaesthesia?","VtG51zzh4VD",
"Check if there is documentation of a radiology safety program","12.4.3 1. Is there a radiology safety program?","lcwp2vluFwx",
"Check if there is documentation of a radiology safety program","12.4.3 1. Is there a radiology safety program?","lcwp2vluFwx",
"Check for the availability of the following equipment according to national guideline","12.4.3 1 Is there equipment to support safe surgical intervention appropriate to the level?","MkT0bt5LRCr",
"Check if there is a safety report and compare with the schedule of the radiology safety program","12.4.3 2. Is the radiology department complying with the radiology safety program?","PDqur4lVu6z",
"Check if there is a safety report and compare with the schedule of the radiology safety program","12.4.3 2. Is the radiology department complying with the radiology safety program?","PDqur4lVu6z",
"Check if staff have lead apron, radiation badges, lead hand gloves, gonad lead protective devices","12.4.3 3. Are the radiology staff using protective gear?","q6vZ924ue7C",
"Check if staff have lead apron, radiation badges, lead hand gloves, gonad lead protective devices","12.4.3 3. Are the radiology staff using protective gear?","q6vZ924ue7C",
"Check for the availability of power back-up with automatic switch ove","12.4.4 1 Is there constant power supply in the theatre?","KzaQ49hTDh4",
"Check for the functionality of emergency equipment, Resuscitation And Airway Management System.","12.4.5 1.  Check for the functionality of emergency equipment, Resuscitation And Airway Management System. (i. Mayo Instrument (ii. Diathermy Machine (iii. Anaesthetic Trolley (iv. Hoses (v. Valves (vi. Bellows Or Bag To Inflate","ZZVCIqGb1ZK",
"Check for the washing and decontamination area for used equipment and linen","12.4.6 1. Check for the washing and decontamination area for used equipment and linen","bwiuPDEiAip",
,"12.4.6 2. Check for the availability of sterilization facility for equipment and linen","dndIcPf8HcL",
"Check for the availability of sterilization facility for equipment and linen","12.4.6 2. Check for the availability of sterilization facility for equipment and linen","sTUG3jqy4e2",
"Check for availability and condition of patient preparation area, changing room, scrubbing area, operating room and recovery room","12.4.6 3. Check for availability and condition of patient preparation area, changing room, scrubbing area, operating room and recovery room","IUvJYkPom7t",
"Check if there is controlled access into the theatre","12.4.6 4. Check if there is controlled access into the theatre","ACJNkE5Yntl",
"Check if radiology and imaging service has SOP and protocols for various types of equipment including radiation warning symbols and posters","12.5.1 1. Are there SOPs and protocols for equipment?","sgY6Pvabk0j",
"Verify by observation the availability of sufficient cleaning facilities, (water supply, soap, equipment, sink/ buckets and basins)","12.5.1 1.is formalin available ?","sNCEhIjrOmy",
"Verify by observation the availability of sufficient cleaning facilities, (water supply, soap, equipment, sink/ buckets and basins)","12.5.1 1.is formalin available ?","sNCEhIjrOmy",
"Verify that appropriate means of food storage are available refrigerator and cupboard Yes","12.5.1 2. Are there appropriate facilities for preserving dead bodies?","R2K9elDaejI",
"Verify that appropriate means of food storage are available refrigerator and cupboard Yes","12.5.1 2. Are there appropriate facilities for preserving dead bodies?","R2K9elDaejI",
"Check if the radiological and imaging equipment is working (should have x-ray and ultrasound equipment)","12.5.1 2. Is the radiology and imaging equipment functional?","veVbVp3CH2r",
"Check if there is a schedule/ plan for preventive maintenance of the equipment.","12.5.1 3. and planned for preventive maintenance?","HL1yOlFMgG4",
"Verify that food handlers have been screened for diarrhoeal or contagious skin infections on the day of assessment and have had analysis of stool, urine, skin diseases and respiratory tract infections","12.5.1 3. Are appropriate PPE used when handling the body ?","lDlazFpA9IC",
"Verify that food handlers have been screened for diarrhoeal or contagious skin infections on the day of assessment and have had analysis of stool, urine, skin diseases and respiratory tract infections","12.5.1 3. Are appropriate PPE used when handling the body ?","lDlazFpA9IC",
"Check if there is an on call register with contact numbers for both x ray and ultrasound.","12.5.1 4. Is there a procedure for providing service after working hours?","TjVBGWHjhQF",
"Check the qualification of the staff present and working at the time of the assessment for both radiology and imaging","12.5.2 1 Are there suitably qualified staff?","WX2ajBQ6Yaz",
"Check if there is documentation of a radiology safety program","12.5.3 1. Is there a radiology safety program?","PtPLkERuplO",
"Check if there is a safety report and compare with the schedule of the radiology safety program","12.5.3 2. Is the radiology department complying with the radiology safety program?","vbgM9NWaakA",
"Check if staff have lead apron, radiation badges, lead hand gloves, gonad lead protective devices","12.5.3 3. Are the radiology staff using protective gear?","DsapeQ9gwnS",
"Verify by observation the availability of sufficient cleaning facilities, (water supply, soap, equipment, sink/ buckets and basins)","12.6.1 1.Are there sufficient cleaning facilities?","nutUI3zTFSY",
"Verify by observation the availability of sufficient cleaning facilities, (water supply, soap, equipment, sink/ buckets and basins)","12.6.1 1.Are there sufficient cleaning facilities?","nutUI3zTFSY",
"Verify that appropriate means of food storage are available refrigerator and cupboard Yes","12.6.1 2.Is food stored in a safe and clean environment?","Iuzc9vPzWCF",
"Verify that appropriate means of food storage are available refrigerator and cupboard Yes","12.6.1 2.Is food stored in a safe and clean environment?","Iuzc9vPzWCF",
"Verify that food handlers have been screened for diarrhoeal or contagious skin infections on the day of assessment and have had analysis of stool, urine, skin diseases and respiratory tract infections","12.6.1 3 Food handlers are free of contagious diseases","GUPdALJKEXs",
"Verify that food handlers have been screened for diarrhoeal or contagious skin infections on the day of assessment and have had analysis of stool, urine, skin diseases and respiratory tract infections","12.6.1 3 Food handlers are free of contagious diseases","GUPdALJKEXs",
,"2.1.1 1. Is there an organisation structure for the facility that is openly displayed?","buGEKuUUNBC",
,"2.1.1 1. Is there an organisation structure for the facility that is openly displayed?","RCArwTrzOvg",
,"2.1.1 1. Is there an organisation structure for the facility that is openly displayed?","rCtQBZtV7cQ",
,"2.1.1 1. Is there an organisation structure for the facility that is openly displayed?","buGEKuUUNBC",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 10. Is the ALLOCATION of  Assistant Laboratory Technologist  to this facility in accordance with establishment []","wyfZsHpdbvs",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 10. Is the ALLOCATION of Pharmacist to this facility in accordance with establishment [1]?","lvrKjzJunOt",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 10. Is the ALLOCATION of Pharmacist to this facility in accordance with establishment [1]?","lvrKjzJunOt",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 11. Is the ALLOCATION of Assistant Environmental Health Office at the duty station in accordance with the establishment [1]","n5mom6bIEtL",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 11 . Is the ALLOCATION of Pharmaceutical Technologist  to this facility in accordance with establishment [2]?","RMMx10tF8hv",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 11 . Is the ALLOCATION of Pharmaceutical Technologist  to this facility in accordance with establishment [2]?","RMMx10tF8hv",
,"2.1.2 12. Is the ALLOCATION of Assistance Social welfare officer  to this facility in accordance with establishment [1]","KNTgCie78Md",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 12. Is the ALLOCATION of Assistance Social welfare officer  to this facility in accordance with establishment [1]","re8y3Z8DAt7",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 12. Is the ALLOCATION of Assistant pharmaceutical technologis to this facility in accordance with establishment [1]?","C1eWfiaczIw",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 12. Is the ALLOCATION of Assistant pharmaceutical technologis to this facility in accordance with establishment [1]?","C1eWfiaczIw",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 13. Is the ALLOCATION of Community Health Worker to this facility in accordance with establishment [1]","EA9g3tBpm2t",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 13. Is the ALLOCATION of Laboratory Technologist to this facility in accordance with establishment [3]?","vsxxnlkiuwK",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 13. Is the ALLOCATION of Laboratory Technologist to this facility in accordance with establishment [3]?","vsxxnlkiuwK",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 14. Is the ALLOCATION of Assistant Laboratory Technologist to this facility in accordance with establishment [2]?","gutn7lxXtj3",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 14. Is the ALLOCATION of Assistant Laboratory Technologist to this facility in accordance with establishment [2]?","gutn7lxXtj3",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 14. Is the ALLOCATION of Medical Recorder to this facility in accordance with establishment [1]","d1baaHf2BFc",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 15. Is the ALLOCATION of Radiology scientis to this facility in accordance with establishment [1]?","HVssG6JYqI3",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 15. Is the ALLOCATION of Radiology scientis to this facility in accordance with establishment [1]?","HVssG6JYqI3",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 16. Is the ALLOCATION of Radiographer technologist to this facility in accordance with establishment [2]?","FY1JDmWW1Vw",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 16. Is the ALLOCATION of Radiographer technologist to this facility in accordance with establishment [2]?","FY1JDmWW1Vw",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 17. Is the ALLOCATION of Assistant Environmental Health Officers to this facility in accordance with establishment [2]?","OC0F2ePzusY",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 17. Is the ALLOCATION of Assistant Environmental Health Officers to this facility in accordance with establishment [2]?","OC0F2ePzusY",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 18. Is the ALLOCATION of Bio medical Technologist to this facility in accordance with establishment [2]?","JinomZ94jUu",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 18. Is the ALLOCATION of Bio medical Technologist to this facility in accordance with establishment [2]?","JinomZ94jUu",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 19. Is the ALLOCATION of Social welfare officer to this facility in accordance with establishment [2]?","J0kDJdDxZoQ",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 19. Is the ALLOCATION of Social welfare officer to this facility in accordance with establishment [2]?","J0kDJdDxZoQ",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 1. Is the ALLOCATION of clinical officers/ clinical assistants in accordance with establishment?[1]","sncYdWXQuCE",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets) for each cadre listed below.-","2.1.2 1. Is the ALLOCATION of  Clinical Officers/ Clinical Assistant to this facility in accordance with establishment [8]","HGxsFwHNfOy",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 1. Is the ALLOCATION of Medical Officer to this facility in accordance with establishment [1]","xZk4JBdGYFf",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 20. Is the ALLOCATION of Medical Record Technician to this facility in accordance with establishment [3]?","LFc85OD9xl2",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 20. Is the ALLOCATION of Medical Record Technician to this facility in accordance with establishment [3]?","LFc85OD9xl2",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 2. Is the ALLOCATION of Assistant Medical officer to this facility in accordance with establishment [1]","VCEP3Jc3P6E",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 2. Is the ALLOCATION of Assistant Medical officer to this facility in accordance with establishment [16]?","vK5xPFFxnSR",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 2. Is the ALLOCATION of Assistant Medical officer to this facility in accordance with establishment [16]?","IkwODnYtOal",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 2. Is the ALLOCATION of Assistant Medical officer to this facility in accordance with establishment [16]?","IkwODnYtOal",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 2. Is the ALLOCATION of  Nurses to this facility in accordance with establishment [2]","e2IjMBGNiNg",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 3. Is the ALLOCATION of Clinical Officers/ Assistant CO to this facility in accordance with establishment [2]","fRsB6igpzuG",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 3. Is the ALLOCATION of Medical Attendants  to this facility in accordance with establishment [1]","AWcUVZQzVWb",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 3. Is the ALLOCATION of Nursing Officer to this facility in accordance with establishment [12]?","ou7mYSqw6Rn",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 3. Is the ALLOCATION of Nursing Officer to this facility in accordance with establishment [12]?","ou7mYSqw6Rn",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 4. Is the ALLOCATION of Assistant Nursing officer to this facility in accordance with establishment [1]","ud6U9NBxzH4",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 4. Is the ALLOCATION of Assistant Nursing officer to this facility in accordance with establishment [33]?","o2oMlaGdTLO",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 4. Is the ALLOCATION of Assistant Nursing officer to this facility in accordance with establishment [33]?","o2oMlaGdTLO",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 4. Is the ALLOCATION of  Pharmaceutical Assistant to this facility in accordance with establishment [1]","e552uWVkCmh",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 5. Is the ALLOCATION of Laboratory Assistant to this facility in accordance with establishment [1]","PH0wEtTWCjI",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 5. Is the ALLOCATION of Nurses to this facility in accordance with establishment [33]?","PFqF3E5LXqc",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 5. Is the ALLOCATION of Nurses to this facility in accordance with establishment [33]?","PFqF3E5LXqc",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 5. Is the ALLOCATION of  Nurses to this facility in accordance with establishment [9]","m0NgCi7dDKv",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 6. Is the ALLOCATION of  Community Health Worker /Assistant Social welfare officer to this facility in accordance with establishment [1]","lbwXxhKXwTG",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 6. Is the ALLOCATION of Medical Attendants  to this facility in accordance with establishment [44]?","pnMfqBMGBVx",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 6. Is the ALLOCATION of Medical Attendants  to this facility in accordance with establishment [44]?","pnMfqBMGBVx",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 6. Is the ALLOCATION of  Medical Attendants to this facility in accordance with establishment [6]","SA06JJek9gb",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 7. Is the ALLOCATION of Dental Officer to this facility in accordance with establishment [1]?","A3ptyQbsczc",
,"2.1.2 7. Is the ALLOCATION of Dental Officer to this facility in accordance with establishment [1]?","BPJLHjL8qKU",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 7. Is the ALLOCATION of Dental Officer to this facility in accordance with establishment [1]?","A3ptyQbsczc",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 7. Is the ALLOCATION of Dental Therapist to this facility in accordance with establishment [1]","LsB2sHL3akA",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 8. Is the ALLOCATION of Assistant Dental Officer to this facility in accordance with establishment [1]?","PwGQxguUE8x",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 8. Is the ALLOCATION of Assistant Dental Officer to this facility in accordance with establishment [1]?","PwGQxguUE8x",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 8. Is the ALLOCATION of Pharmaceutical Technologist/Assistant pharmaceutical technologist  to this facility in accordance with establishment [1]","x1r3hWb0EJx",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 9. Is the ALLOCATION of  Dental Therapist to this facility in accordance with establishment [1]?","azvhpuWSDMH",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 9. Is the ALLOCATION of  Dental Therapist to this facility in accordance with establishment [1]?","azvhpuWSDMH",
"Ask the facility manager for the number allocated compared with establishment (shown in brackets)","2.1.2 9. Is the ALLOCATION of  Laboratory Technologist to this facility in accordance with establishment [1]","oOoBjiLmGRP",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 10 . Is the AVAILABILITY of  Assistant Laboratory Technologis at the duty station in accordance with the establishment [1]","YyBnpamq4AZ",
"Check attendance register for the number of staff that have reported for duty in the past month for Pharmacist","2.1.3 10. Is the AVAILABILITY of Pharmacist at the duty station in accordance with the establishment [1]?","zlfltyeNofT",
"Check attendance register for the number of staff that have reported for duty in the past month for Pharmacist","2.1.3 10. Is the AVAILABILITY of Pharmacist at the duty station in accordance with the establishment [1]?","zlfltyeNofT",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 11 . Is the AVAILABILITY of Assistant Environmental Health Officer at the duty station in accordance with the establishment [1]","RuQsHsDVnso",
"Check attendance register for the number of staff that have reported for duty in the past month for  Pharmaceutical Technologist","2.1.3 11. Is the AVAILABILITY of Pharmaceutical Technologist at the duty station in accordance with the establishment [2]?","yGBH1ymF4T9",
"Check attendance register for the number of staff that have reported for duty in the past month for  Pharmaceutical Technologist","2.1.3 11. Is the AVAILABILITY of Pharmaceutical Technologist at the duty station in accordance with the establishment [2]?","yGBH1ymF4T9",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 12 .Is the AVAILABILITY of Assistance Social welfare officer at the duty station in accordance with the establishment [1]","f4VT31x0xNn",
"Check attendance register for the number of staff that have reported for duty in the past month for  Assistant pharmaceutical technologist","2.1.3 12.Is the AVAILABILITY of Assistant pharmaceutical technologist at the duty station in accordance with the establishment [1]?","sDVV7UOg0Pf",
"Check attendance register for the number of staff that have reported for duty in the past month for  Assistant pharmaceutical technologist","2.1.3 12.Is the AVAILABILITY of Assistant pharmaceutical technologist at the duty station in accordance with the establishment [1]?","sDVV7UOg0Pf",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 13 . Is the AVAILABILITY of Community health worker at the duty station in accordance with the establishment [1]","yPUTk4ZG8UY",
"Check attendance register for the number of staff that have reported for duty in the past month for Laboratory Technologist","2.1.3 13. Is the AVAILABILITY of Laboratory Technologiste at the duty station in accordance with the establishment [3]?","UTpQ49HzfmB",
"Check attendance register for the number of staff that have reported for duty in the past month for Assistant Laboratory Technologist","2.1.3 14. Is the AVAILABILITY of Assistant Laboratory Technologist at the duty station in accordance with the establishment [2]?","SF0UAaxIeSM",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 14 . Is the AVAILABILITY of  Medical recorder at the duty station in accordance with the establishment [1]","Fgt9NHx4EIf",
"Check attendance register for the number of staff that have reported for duty in the past month for Radiology scientist","2.1.3 15. Is the AVAILABILITY of Radiology scientist  at the duty station in accordance with the establishment [1]?","Fc2c6Hc3X5e",
"Check attendance register for the number of staff that have reported for duty in the past month for Radiographer technologist","2.1.3 16. Is the AVAILABILITY of Radiographer technologist at the duty station in accordance with the establishment [2]?","KBBLyoEa3Fw",
"Check attendance register for the number of staff that have reported for duty in the past month for Bio medical Technologist","2.1.3 17. Is the AVAILABILITY of Bio medical Technologist at the duty station in accordance with the establishment [2]?","PG6W7p3MAxo",
"Check attendance register for the number of staff that have reported for duty in the past month for Assistant Environmental Health Officer","2.1.3 18.Is the AVAILABILITY of  Assistant Environmental Health Officer at the duty station in accordance with the establishment [3]?","Y0wISsBAelE",
"Check attendance register for the number of staff that have reported for duty in the past month for Social welfare officer","2.1.3 19.Is the AVAILABILITY of Social welfare officer at the duty station in accordance with the establishment [1]?","hccMx4L0N1F",
"Check attendance register for the number of staff that have reported for duty in the past month for Social welfare officer","2.1.3 19.Is the AVAILABILITY of Social welfare officer at the duty station in accordance with the establishment [1]?","VLpdyrZ6esx",
"Check attendance register for the number of staff that have reported for duty in the past month for Social welfare officer","2.1.3 19.Is the AVAILABILITY of Social welfare officer at the duty station in accordance with the establishment [1]?","hccMx4L0N1F",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 1. Is the AVAILABILITY of Clinical Officers/ Assistant CO at the duty station in accordance with the establishment [1]","nGr0Y97ozbb",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 1 . Is the AVAILABILITY of Medical officer at the duty station in accordance with the establishment [1]","ct1GIn9DHgR",
"Check attendance register for the number of staff that have reported for duty in the past month for each cadre.","2.1.3 1. Is the AVAILABILITY of  Medical officer at the duty station in accordance with the establishment [8]?","efKWN145uYL",
"Check attendance register for the number of staff that have reported for duty in the past month for Medical record technician","2.1.3 20. Is the AVAILABILITY of Medical record technician at the duty station in accordance with the establishment [3]?","AH0XN68nF8O",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 2 . Is the AVAILABILITY of Assistant Medical officer at the duty station in accordance with the establishment [1]","T4FexgeZVgY",
"Check attendance register for the number of staff that have reported for duty in the past month for Assistant Medical officer","2.1.3 2. Is the AVAILABILITY of Assistant Medical officer at the duty station in accordance with the establishment [16]?","FGLk1ACzQQm",
"Check attendance register for the number of staff that have reported for duty in the past month for Assistant Medical officer","2.1.3 2. Is the AVAILABILITY of Assistant Medical officer at the duty station in accordance with the establishment [16]?","FGLk1ACzQQm",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 2. Is the AVAILABILITY of Nurses at the duty station in accordance with the establishment [2]","FW6Og69OtSM",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 3 . Is the AVAILABILITY of  Clinical Officers/Clinical Assistant CO at the duty station in accordance with the establishment [2]","RsqyrZwKytN",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 3. Is the AVAILABILITY of Medical Attendants at the duty station in accordance with the establishment [1]","fVHPFWcYUWo",
"Check attendance register for the number of staff that have reported for duty in the past month for Nursing Officer","2.1.3 3. Is the AVAILABILITY of Nursing Officer at the duty station in accordance with the establishment [12]?","Mjyx51oEbSN",
"Check attendance register for the number of staff that have reported for duty in the past month for Nursing Officer","2.1.3 3. Is the AVAILABILITY of Nursing Officer at the duty station in accordance with the establishment [12]?","Mjyx51oEbSN",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 4 .Is the AVAILABILITY of Assistant Nursing officer at the duty station in accordance with the establishment [1]","kQ8f86dUl7Z",
"Check attendance register for the number of staff that have reported for duty in the past month for Assistant Nursing officer","2.1.3 4.Is the AVAILABILITY of Assistant Nursing officer at the duty station in accordance with the establishment [33]?","iaI66BmAIuO",
"Check attendance register for the number of staff that have reported for duty in the past month for Assistant Nursing officer","2.1.3 4.Is the AVAILABILITY of Assistant Nursing officer at the duty station in accordance with the establishment [33]?","iaI66BmAIuO",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 4. Is the AVAILABILITY of Pharmaceutical Assistant at the duty station in accordance with the establishment [1]","URHjZjKIx0e",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 5. Is the AVAILABILITY of Laboratory Assistant at the duty station in accordance with the establishment [1]","lzMmGFwHEUG",
,"2.1.3 5. Is the AVAILABILITY of Nurses at the duty station in accordance with the establishment [33]?","CR0kH5EP3zD",
,"2.1.3 5. Is the AVAILABILITY of Nurses at the duty station in accordance with the establishment [33]?","CR0kH5EP3zD",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 5 . Is the AVAILABILITY of  Nurses at the duty station in accordance with the establishment [9]","EIoXIdnnWkF",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 6. Is the AVAILABILITY of Community Health Worker/Assistant Social welfare at the duty station in accordance with the establishment [1]","ZyCprOOdvXo",
"Check attendance register for the number of staff that have reported for duty in the past month for Medical Attendants","2.1.3 6. Is the AVAILABILITY of  Medical Attendants at the duty station in accordance with the establishment [44]?","Sol5lXk1LUL",
"Check attendance register for the number of staff that have reported for duty in the past month for Medical Attendants","2.1.3 6. Is the AVAILABILITY of  Medical Attendants at the duty station in accordance with the establishment [44]?","Sol5lXk1LUL",
